"LIST_NO","LIST_DATE","LEVELS_MF","ADDRESS","NO_BEDROOMS","FURNISHED_RN","HIGH_SCHOOL","LIST_OR_SALE_PRICE","LIST_PRICE","ORIG_PRICE","SQUARE_FEET","NEIGHBORHOOD","OFF_MKT_DATE","OFFER_DATE"
73290473,"09/16/2024",,"164 Hood St U:2E",2,"No",,1000.00,1000.00,1000.00,511,,"09/18/2024","09/18/2024"
73290449,"09/16/2024",,"23 Grove St U:1",1,,,2295.00,2295.00,2295.00,99999,,"09/19/2024","09/19/2024"
73290414,"09/15/2024",,"110 Clay St U:4",2,,,2300.00,2300.00,2300.00,875,,"09/16/2024","09/16/2024"
73290373,"09/15/2024",,"22 Concord Avenue U:11",1,"No",,2200.00,2200.00,2200.00,676,,"09/15/2024","09/15/2024"
73290364,"09/15/2024",,"113 Myrtle U:2",2,,,2000.00,2000.00,2000.00,950,,"09/24/2024","09/24/2024"
73290363,"09/15/2024",,"6 Tyler Street U:A",3,"No",,3400.00,3400.00,3400.00,1456,,"09/26/2024","09/26/2024"
73290360,"09/15/2024",,"39 Montrose U:2C",1,,,1800.00,1800.00,1800.00,1550,,"10/01/2024","10/01/2024"
73290359,"09/15/2024",,"39 Montrose U:2B",1,,,1200.00,1200.00,1200.00,1550,,"09/30/2024","09/30/2024"
73290324,"09/15/2024",,"191 W 5th St U:1",2,"No",,2800.00,2800.00,2800.00,772,,"09/26/2024","09/26/2024"
73290315,"09/15/2024",,"35 Union U:B",1,,,1900.00,1900.00,1900.00,1200,,"09/30/2024","09/30/2024"
73290314,"09/15/2024",,"32 Century St U:1",2,,,2600.00,2600.00,2600.00,1000,,"09/18/2024","09/18/2024"
73290313,"09/15/2024",,"505 S Main Street U:2",1,"No",,1000.00,1000.00,1000.00,700,,"09/20/2024","09/20/2024"
73290298,"09/15/2024",,"6 State Rd U:1",1,"No",,1700.00,1700.00,1700.00,700,,"09/26/2024","09/23/2024"
73290296,"09/15/2024",,"312 Washington St",4,"No","WHS",5300.00,5300.00,5300.00,1920,,"09/19/2024","09/19/2024"
73290280,"09/15/2024",,"174 Whitwell St U:3",2,,,2200.00,2200.00,2200.00,900,,"09/24/2024","09/24/2024"
73290257,"09/14/2024",,"98 Forest park ave U:1",3,"No",,2000.00,2000.00,1850.00,2000,,"09/27/2024","09/27/2024"
73290238,"09/14/2024",,"313 Allston Street U:4",1,,,1975.00,1975.00,1975.00,556,,"09/25/2024","09/25/2024"
73290202,"09/14/2024",,"212 Humphrey U:205",1,"No","MHHS",2250.00,2250.00,2250.00,744,,"09/27/2024","09/27/2024"
73290180,"09/14/2024",,"525 Highland Ave. U:31",2,"No",,2475.00,2475.00,2475.00,750,,"09/18/2024","09/18/2024"
73290155,"09/14/2024",,"15 Fairfax St U:1",2,,,2500.00,2500.00,2500.00,900,,"09/26/2024","09/26/2024"
73290146,"09/14/2024",,"26 Granite St U:C",4,,,2500.00,2400.00,2400.00,2000,,"09/17/2024","09/17/2024"
73290130,"09/14/2024",,"18 Walnut St U:8",3,,,2695.00,2695.00,2695.00,99999,,"09/14/2024","09/14/2024"
73290128,"09/14/2024",,"13 Sudbury Street U:502",1,"No",,2200.00,2075.00,2075.00,0,,"09/14/2024","09/14/2024"
73290119,"09/14/2024",,"33 Hermon St U:GL-3",1,,,2055.00,1950.00,1950.00,0,,"09/14/2024","09/14/2024"
73290103,"09/01/2024",,"5 Grove Str U:6",2,,,3300.00,3300.00,3300.00,660,,"09/12/2024","09/12/2024"
73290084,"09/13/2024",,"94 Webster Street U:2",2,"Yes",,2200.00,2200.00,2200.00,1200,,"09/26/2024","09/14/2024"
73290030,"09/13/2024",,"11 Victory U:A",3,"No",,2750.00,2700.00,2700.00,1400,,"10/01/2024","09/26/2024"
73290000,"09/13/2024",,"9 Central Street U:103",1,,,3300.00,3300.00,3600.00,706,,"09/28/2024","09/28/2024"
73289998,"09/13/2024",,"348 High Street U:1",2,"No",,2300.00,2300.00,2400.00,1000,,"09/29/2024","09/29/2024"
73289967,"09/13/2024",,"215 Gladstone Street U:2",3,,,3100.00,3100.00,3100.00,1500,,"09/20/2024","09/20/2024"
73289938,"09/13/2024",,"312 Court U:2",1,,,1750.00,1750.00,1750.00,400,,"09/18/2024","09/18/2024"
73289936,"09/13/2024",,"911-917 N. Main U:H",1,"No",,1500.00,1500.00,1500.00,550,,"09/27/2024","09/27/2024"
73289895,"09/13/2024",,"198 Arlington U:1",2,,"WHS",2650.00,2700.00,2700.00,1150,,"09/22/2024","09/22/2024"
73289883,"09/13/2024",,"58A Madison St U:58A",1,"No",,1700.00,1700.00,1700.00,700,,"09/19/2024","09/19/2024"
73289864,"09/13/2024",,"73 West Eagle Street U:1",3,"No",,2800.00,2900.00,2900.00,1100,,"09/18/2024","09/18/2024"
73289854,"09/13/2024",,"10 Weston Ave U:203",1,"No",,2000.00,2000.00,2000.00,680,,"09/27/2024","09/27/2024"
73289846,"09/13/2024",,"256 W. 3rd St U:2",2,"No",,3400.00,3400.00,3400.00,1200,,"09/19/2024","09/19/2024"
73289838,"09/13/2024",,"15 Beetle St U:3S",1,"No",,1200.00,1200.00,1200.00,800,,"09/18/2024","09/18/2024"
73289809,"09/13/2024",,"261 Commonwealth Avenue U:B1",1,,,2100.00,2250.00,2250.00,567,,"09/19/2024","09/19/2024"
73289805,"09/13/2024",,"269 Beacon U:2",1,,,2075.00,2075.00,2075.00,396,,"09/19/2024","09/19/2024"
73289803,"09/13/2024",,"52 Garden Street U:6",1,,,2000.00,2000.00,2000.00,500,,"09/19/2024","09/19/2024"
73289788,"09/13/2024",,"136 Tecumseh U:3",3,,,1700.00,1700.00,1700.00,2264,,"10/01/2024","10/11/2024"
73289770,"09/13/2024",,"120 Holmes St U:304",2,"No",,2900.00,2900.00,2900.00,1101,,"09/24/2024","09/24/2024"
73289731,"09/13/2024",,"8 Burnham U:1",3,"No",,3000.00,3000.00,3400.00,1200,,"09/29/2024","09/29/2024"
73289722,"09/13/2024",,"50 Leo M Birmingham Pkwy U:201",1,"Partial",,2700.00,2750.00,2750.00,710,,"09/25/2024","09/25/2024"
73289703,"09/12/2024",,"64 Bakersfield U:1",3,,,3450.00,3450.00,3450.00,1000,,"09/18/2024","09/18/2024"
73289694,"09/12/2024",,"7 Franklin St. U:2",4,,,3800.00,3800.00,4000.00,2000,,"09/26/2024","09/26/2024"
73289690,"09/12/2024",,"14 Monument Square U:BF",0,,,1850.00,1850.00,1850.00,225,,"09/24/2024","09/24/2024"
73289687,"09/12/2024",,"40 Springfield St U:0",3,,,3000.00,3000.00,3300.00,1550,,"09/30/2024","09/28/2024"
73289632,"09/12/2024",,"75 Fulton U:11",1,"No",,4500.00,4000.00,4000.00,1028,,"09/25/2024","09/25/2024"
73289624,"09/12/2024",,"159 St. Paul St. U:7",2,"No",,3550.00,3300.00,3600.00,1115,,"09/22/2024","09/21/2024"
73289564,"09/12/2024",,"40 River Rd U:WINTER",3,"Yes",,2400.00,2400.00,2400.00,2000,,"09/17/2024","09/17/2024"
73289531,"09/12/2024",,"31 Central Ave U:3R",2,,,1550.00,1650.00,1650.00,1000,,"09/16/2024","09/16/2024"
73289330,"09/12/2024",,"60 Pleasant St",3,"No","Wellesley",4500.00,4500.00,4500.00,2400,,"09/21/2024","09/21/2024"
73289299,"09/12/2024",,"2 Hammond Pond Pkwy U:505",1,,,2150.00,2150.00,2300.00,982,,"09/30/2024","09/30/2024"
73289207,"09/12/2024",,"176 Maple Avenue U:2-22",2,"No","WRHS",1800.00,1800.00,1800.00,781,,"09/29/2024","09/29/2024"
73289196,"09/12/2024",,"9-11 Mercier Ave. U:2",2,"No",,2200.00,2200.00,2200.00,1246,,"09/19/2024","09/19/2024"
73289179,"09/12/2024",,"4 Columbian Street U:8",2,"No",,2000.00,2000.00,2000.00,750,,"09/26/2024","09/26/2024"
73289139,"09/12/2024",,"20 Orleans Street U:302",2,,,2850.00,2900.00,2900.00,760,,"09/16/2024","09/15/2024"
73289092,"09/12/2024",,"5 Coburn Ave.",1,,,2100.00,2100.00,2100.00,468,,"09/22/2024","09/22/2024"
73288935,"09/11/2024",,"55 Armory Street U:2",1,"No",,1700.00,1700.00,1700.00,600,,"09/18/2024","09/18/2024"
73288895,"09/11/2024",,"12 Holly Street",2,"Yes",,2400.00,2400.00,2400.00,744,,"10/01/2024","10/01/2024"
73288809,"09/11/2024",,"31 Clyde Rd U:1",2,"No",,3300.00,3000.00,3300.00,1300,,"10/01/2024","10/01/2024"
73288794,"09/11/2024",,"655 East 2nd U:4",3,,,4500.00,4500.00,4500.00,1540,,"09/29/2024","09/29/2024"
73288786,"09/11/2024",,"121-123 Hawthorne St U:B6",1,,,2200.00,2200.00,2200.00,975,,"09/26/2024","09/26/2024"
73288781,"09/11/2024",,"20 Orlando Ave",2,,,3600.00,3600.00,3600.00,1600,,"09/19/2024","09/19/2024"
73288758,"09/11/2024",,"37-49 Arcadia Ave U:37",2,"No",,2750.00,2750.00,2750.00,1000,,"09/24/2024","09/24/2024"
73288713,"09/11/2024",,"33 3rd Avenue U:U5B",2,,,3800.00,3800.00,3800.00,1000,,"09/28/2024","09/28/2024"
73288677,"09/11/2024",,"181 Littleton Rd U:106",2,"No",,2600.00,2600.00,2600.00,1250,,"09/21/2024","09/21/2024"
73288665,"09/11/2024",,"307 Cabot Street U:4",1,,,2600.00,2600.00,2600.00,900,,"09/16/2024","09/13/2024"
73288662,"09/10/2024",,"24 Colgate Rd. U:9",1,,,2100.00,2100.00,2100.00,525,,"09/18/2024","09/18/2024"
73288589,"09/11/2024",,"35 Prospect St U:114",1,,,1850.00,1850.00,2000.00,600,,"10/01/2024","10/01/2024"
73288547,"09/11/2024",,"20 Farnum St U:1",1,"No",,2000.00,2000.00,2000.00,1000,,"09/19/2024","09/19/2024"
73288530,"09/11/2024",,"16 Commonwealth Ave U:12",1,"No",,2400.00,2400.00,2400.00,525,,"09/30/2024","09/30/2024"
73288444,"09/11/2024",,"30 Lucas",2,"No",,2000.00,2000.00,2000.00,990,,"09/19/2024","09/19/2024"
73288385,"09/11/2024",,"46 Cochituate U:112",2,"No",,2350.00,2350.00,2350.00,950,,"09/18/2024","09/18/2024"
73288378,"09/11/2024",,"58 13th Street U:134",3,,,4425.00,4425.00,4425.00,1388,,"09/30/2024","09/30/2024"
73288362,"09/11/2024",,"160 Turner Rd U:2",1,"No",,1450.00,1450.00,1450.00,625,,"09/30/2024","09/30/2024"
73288316,"09/11/2024",,"36 Eliot U:30",2,,,2900.00,2650.00,2650.00,1000,,"09/17/2024","09/17/2024"
73288299,"09/11/2024",,"433 Furnace Brook Parkway U:11",2,,,1900.00,1900.00,1900.00,800,,"09/24/2024","09/24/2024"
73288294,"09/11/2024",,"1137 Massachusetts Ave U:4",1,"No",,2100.00,2100.00,2500.00,400,,"10/01/2024","10/01/2024"
73288218,"09/11/2024",,"22 Park Road U:1",2,,"Belmont High",2495.00,2495.00,2495.00,1100,,"09/13/2024","09/12/2024"
73288217,"09/11/2024",,"133 Seaport Blvd U:907",1,"No",,4900.00,4900.00,4900.00,696,,"09/11/2024","09/11/2024"
73288142,"09/10/2024",,"150 H St U:3",2,"No",,3500.00,3500.00,3500.00,1072,,"09/17/2024","09/13/2024"
73288047,"09/10/2024",,"35 Henry U:1",2,"No",,2675.00,2675.00,2795.00,900,,"09/30/2024","09/30/2024"
73288016,"09/10/2024",,"380 Harrison U:1005",0,,,3900.00,3900.00,3900.00,550,,"09/26/2024","09/26/2024"
73288009,"09/03/2024",,"19 Buckman U:F",2,"No",,2500.00,2500.00,2350.00,1100,,"09/30/2024","09/18/2024"
73287975,"09/10/2024",,"17 Central Street U:A",1,,,1700.00,1700.00,1700.00,925,,"09/25/2024","09/23/2024"
73287943,"09/10/2024",,"10 Charlesgate East U:3",1,"No",,2400.00,2350.00,2350.00,709,,"09/16/2024","09/16/2024"
73287885,"09/09/2024",,"133 Commander Shea Blvd U:807",1,,,1800.00,1800.00,1700.00,600,,"09/17/2024","09/17/2024"
73287862,"09/10/2024",,"27 Arnold Road U:3",1,"No",,1100.00,1100.00,1100.00,700,,"09/19/2024","09/19/2024"
73287842,"09/10/2024",,"319 Forge Village Rd. U:2",1,,,1700.00,1700.00,1700.00,650,,"09/24/2024","09/24/2024"
73287834,"09/10/2024",,"124 Bowdoin Street U:76",2,,,3200.00,3200.00,3200.00,805,,"10/01/2024","10/01/2024"
73287793,"09/09/2024",,"180 Medford U:1",2,"No",,2700.00,2700.00,2700.00,1100,,"09/18/2024","09/18/2024"
73287784,"09/10/2024",,"47 Stephen Street U:1",2,,,1400.00,1400.00,1300.00,800,,"09/10/2024","09/10/2024"
73287781,"09/10/2024",,"47 Wyman Rd",2,,"Dracut",3099.00,3099.00,3099.00,1200,,"09/26/2024","09/26/2024"
73287758,"09/10/2024",,"87-89 Malden U:101",1,"No",,2250.00,2250.00,2350.00,650,,"09/30/2024","09/30/2024"
73287731,"09/10/2024",,"87 Bowdoin Ave",3,"No",,3300.00,3300.00,3300.00,2250,,"09/17/2024","09/17/2024"
73287729,"09/10/2024",,"26 Revere St U:1A",2,"No",,2100.00,2100.00,2100.00,700,,"09/24/2024","09/11/2024"
73287714,"09/10/2024",,"103 Marlborough St U:2",1,"No",,2650.00,2650.00,2650.00,415,,"09/17/2024","09/17/2024"
73287690,"09/10/2024",,"85 Pine St U:1",2,,,2200.00,2200.00,2200.00,1100,,"09/18/2024","09/18/2024"
73287672,"09/10/2024",,"542 County St U:7",1,"No",,975.00,975.00,1000.00,350,,"09/24/2024","09/24/2024"
73287671,"09/10/2024",,"104 Brooks St U:2",3,"No",,3600.00,3600.00,4000.00,1584,,"09/22/2024","09/22/2024"
73287669,"09/10/2024",,"97 Kinnaird St U:1",3,"No","Cambridge Rindg",5200.00,5200.00,5200.00,2031,,"09/11/2024","09/11/2024"
73287637,"09/10/2024",,"10 Seaport Drive U:2101",1,,,2500.00,2500.00,2500.00,833,,"09/15/2024","09/15/2024"
73287607,"09/10/2024",,"366 Hanover St U:7",1,,,2600.00,2600.00,2600.00,475,,"09/27/2024","09/27/2024"
73287545,"09/10/2024",,"14 VILLAGE GREEN LANE U:6",2,,,2100.00,2175.00,2300.00,810,,"09/29/2024","09/29/2024"
73287528,"09/09/2024",,"118 Bridge St U:101",1,"No","Dedham",2000.00,2000.00,2000.00,500,,"10/01/2024","09/25/2024"
