LIST_NO,LIST_DATE,LEVELS_MF,ADDRESS,NO_BEDROOMS,FURNISHED_RN,HIGH_SCHOOL,LIST_OR_SALE_PRICE,LIST_PRICE,ORIG_PRICE,SQUARE_FEET,NEIGHBORHOOD,OFF_MKT_DATE,OFFER_DATE
73334908,2/13/25,,234 E Main St,3,,Georgetown  HS,707000,689000,689000,1748,,3/3/25,2/17/25
73334891,2/12/25,,113 Commonwealth U:4,3,,,3225000,3150000,3150000,1884,,2/21/25,2/17/25
73334871,2/12/25,,88 Potter Pond Rd U:88,3,,LPS,1100000,1000000,1000000,2218,,2/14/25,2/14/25
73334635,2/12/25,,89 Beethoven Ave,5,,Newton South,1900000,1798000,1798000,2744,,2/18/25,2/17/25
73334596,2/12/25,,80 Terrace Street U:502,2,,,940000,940000,940000,1065,,2/13/25,2/13/25
73334584,2/12/25,,20 Huguenot Rd,2,,,225000,250000,250000,850,,2/14/25,2/14/25
73334583,2/12/25,,90 High St U:305,2,,,390000,385000,385000,935,,3/3/25,2/18/25
73334571,2/12/25,,183 Bishops Forest Dr. U:183,4,,Waltham,1070000,999900,999900,3099,,2/18/25,2/18/25
73334556,2/12/25,,20 Sears Rd,7,,Brookline High,8000000,8900000,8900000,9300,,2/20/25,2/14/25
73334555,2/12/25,3,22 Leslie St,8,,,481000,449900,449900,4009,,3/2/25,2/16/25
73334503,2/12/25,,68 Hunters Run Pl U:68,2,,,400000,399000,399000,1216,,2/16/25,2/16/25
73334482,2/11/25,2,97 Meadow St,4,,,351750,339999,339999,1560,,2/18/25,2/18/25
73334447,2/11/25,,4 Belle Isle Ave,3,,,565000,509000,509000,1562,,2/13/25,2/13/25
73334193,2/11/25,,28 Breakwater Dr U:16,3,,,937000,949000,949000,2553,,2/15/25,2/13/25
73334138,2/11/25,2,84-86 Carey,4,,,620000,599999,599999,1920,,2/25/25,2/18/25
73334128,2/11/25,,2 Old Summer Street,4,,Medway HS,513500,450000,450000,2360,,2/21/25,2/17/25
73333933,2/10/25,,24 Benton Circle,3,,RMHS,901000,839900,839900,1650,Birch Meadow,2/24/25,2/17/25
73333920,2/10/25,,1 Regan Place,3,,,430000,425000,425000,1121,,2/27/25,2/14/25
73333904,2/10/25,,45 Titicut Avenue U:Lot 36,3,,,1014430,894000,894000,2681,Duxburrow Estates,2/10/25,2/10/25
73333846,2/10/25,,470 Sea St U:2B,3,,,595000,595000,595000,988,,2/15/25,2/15/25
73333750,2/10/25,,598 Peakham Rd,3,,Lincoln-Sudbury,915000,849000,849000,1816,,2/14/25,2/14/25
73333718,2/9/25,,4103 Pheasant,3,,,440000,440000,440000,1700,Oak Point,2/21/25,2/11/25
73333674,2/9/25,,24 Roxanne Rd,4,,,1300000,1299900,1299900,4806,,3/2/25,2/17/25
73333484,2/7/25,,13 Concord Greene U:7,2,,CCHS,640000,610000,610000,1053,,2/19/25,2/19/25
73333423,2/7/25,,12 Meredith Street,3,,,480000,460000,460000,1528,,2/10/25,2/10/25
73333410,2/7/25,,240 Devonshire Street U:4107,1,,,1465100,1495000,1495000,781,,2/10/25,2/10/25
73333409,2/7/25,,240 Devonshire Street U:3714,2,,,2100000,2175000,2175000,1258,,2/10/25,2/10/25
73333329,2/7/25,,16 Rag Rock Dr,3,,,660000,625000,625000,1568,,2/14/25,2/8/25
73333324,2/7/25,2,671 Springfield St,8,,,685000,699999,699999,3435,,2/28/25,2/28/25
73333306,2/6/25,,113 Lawton Rd,6,,NHS,3350000,3375000,3375000,5503,Birds Hill,2/13/25,2/6/25
73333293,2/6/25,,60 Magnolia Dr,3,,NAHS/Feehan,834000,829000,829000,2818,Dorey Estates,2/9/25,2/9/25
73333271,2/6/25,,5 Held Cir,3,,,1115000,999000,999000,2617,,2/23/25,2/9/25
73333245,2/6/25,,32 Lincoln St U:32,4,,Needham,1740000,1749000,1749000,3050,,2/24/25,2/11/25
73333243,2/6/25,,3 Potter Rd,3,,,991000,949000,949000,2845,,2/12/25,2/12/25
73333237,2/6/25,,20 Olde Colonial Drive U:3,2,,,240000,260000,260000,1024,,2/23/25,2/9/25
73333163,2/6/25,,31 POND STREET U:6,1,,WALTHAM HIGH,280000,289000,289000,542,,2/11/25,2/8/25
73333134,2/6/25,,26 Olivine St,3,,,175000,175000,175000,1366,,2/7/25,2/7/25
73333086,2/6/25,,17 Pocasset Ave,2,,,325000,299000,299000,864,,2/21/25,2/11/25
73333064,2/6/25,,14 W Water Street U:3,1,,,355000,349999,349999,531,,2/12/25,2/12/25
73333055,2/4/25,,442 Commercial Street U:Unit 2,1,,,880000,879900,879900,454,,2/9/25,2/9/25
73333054,2/6/25,,11 Hils Mill Rd,3,,,563750,529000,529000,1590,,2/18/25,2/8/25
73333046,2/6/25,,14 HEALY ROAD,3,,,455000,449900,449900,1528,,2/25/25,2/11/25
73333031,2/6/25,,33 Cranch Street,3,,Weymouth High,555000,544900,544900,1111,,2/22/25,2/8/25
73332987,2/6/25,,24 Leech St,4,,,750000,659900,659900,1761,,2/25/25,2/12/25
73332985,2/6/25,,41 Allen Ave,3,,,440000,424900,424900,1183,,2/10/25,2/10/25
73332971,2/6/25,,24 Forest Dr,2,,,482500,459900,459900,1782,,2/18/25,2/9/25
73332970,2/6/25,,43 Park St,4,,King Philip,940000,923500,923500,3084,,2/11/25,2/11/25
73332949,2/6/25,,24 Deer Path U:3,2,,Maynard/AMSA,487500,469000,469000,1586,,2/16/25,2/9/25
73332914,2/5/25,,138 Tyngsboro Rd U:11,2,,,265000,260000,260000,690,,2/22/25,2/9/25
73332902,2/5/25,,70 Windermere Rd,5,,Newton North,2305000,1999800,1999800,3866,,2/20/25,2/7/25
73332882,2/5/25,,1020 Main Street,4,,,955000,950000,950000,1678,,2/18/25,2/12/25
73332838,2/5/25,,29 Old Marlboro Road,3,,,785000,750000,750000,1845,,2/18/25,2/10/25
73332829,2/5/25,,146 Hampshire Road,4,,,585000,585000,585000,1806,,3/2/25,2/16/25
73332825,2/5/25,,13 Meadowbrook Rd,3,,SHS,635000,619999,619999,1600,,2/18/25,2/11/25
73332816,2/5/25,,23 Oregon Road,3,,,715000,699900,699900,2058,,2/8/25,2/8/25
73332812,2/5/25,,31 Jones Terrace U:24,1,,,228712,232000,232000,607,,2/21/25,2/7/25
73332757,2/5/25,,10 Daniels Rd,4,,Nipmuc,730000,725000,725000,2285,Castle Hill Estates,2/8/25,2/8/25
73332741,2/4/25,,18 West Road U:106,2,,,485000,475000,475000,1176,,2/7/25,2/7/25
73332703,2/5/25,,81 Cross St,4,,AHS,1030210,899900,899900,2900,,2/25/25,2/11/25
73332700,2/5/25,,20 Heritage Lane,2,,,710000,675000,675000,2040,Village at Old Mill,2/11/25,2/11/25
73332693,2/5/25,,45 Oval Rd U:36,2,,NQHS or QHS,339900,339900,339900,788,,2/16/25,2/11/25
73332687,2/5/25,,3 Hilltop Dr,4,,Bedford,1200000,1028000,1028000,2600,Desirable Page Hill area on the Lex Line.,2/11/25,2/11/25
73332672,2/5/25,,22 Pomeroy Meadow Rd U:9,1,,Hampshire Reg.,450000,439000,439000,1349,,2/9/25,2/9/25
73332620,2/5/25,,18-20 Congress Ave U:1,3,,,500000,469000,469000,1220,,2/9/25,2/9/25
73332588,2/5/25,,1 Earhart U:105,1,,,921500,925000,925000,1027,,2/15/25,2/11/25
73332587,2/5/25,,308 Woodcliff Rd,2,,Newton South,981000,849000,849000,2066,,2/22/25,2/9/25
73332574,2/5/25,,39-1/2 Boardman St U:39H,2,,Newburyport,625000,599900,599900,1274,,2/5/25,2/5/25
73332573,2/5/25,,27 Pleasant St,2,,Ashland High,482000,449000,449000,998,,2/9/25,2/9/25
73332567,2/5/25,,28 Wildflower Drive,3,,,720000,675000,675000,2422,Stonebridge Farms,2/12/25,2/12/25
73332566,2/5/25,,31 Rivercliff Rd,2,,,525000,549900,549900,932,,2/5/25,2/5/25
73332536,2/5/25,,88 Hopkinson Street,5,,Wellesley,2895000,2895000,2895000,4436,,2/11/25,2/11/25
73332529,2/5/25,,10 Shadow Lane,4,,AHS,1899900,1899900,1899900,5929,,2/13/25,2/10/25
73332516,2/5/25,,150 Rumford Ave U:306,2,,Mansfield High,365000,339000,339000,990,,2/12/25,2/11/25
73332514,2/5/25,,342 Gleasondale Road,3,,Nashoba,780000,695000,695000,1973,,2/14/25,2/11/25
73332512,2/5/25,,11 Goodnow Cir U:11,2,,,470000,485000,485000,1463,,2/21/25,2/11/25
73332511,3/21/24,,14 Starboard Dr. U:Lot 70,2,,,714900,714900,714900,1758,,12/4/24,12/4/24
73332474,2/5/25,,43 Longwood Rd,3,,Reading High,725000,700000,700000,1336,,2/6/25,2/6/25
73332463,2/4/25,,5 CORNELL ROAD,4,,BHS,630000,599900,599900,1452,,2/11/25,2/11/25
73332450,2/5/25,,75 Bruce Road,3,,Walpole HS,600000,549000,549000,1203,North Walpole,2/11/25,2/11/25
73332430,2/5/25,,15 Sawmill Road,3,,WestfordAcademy,599900,599900,599900,1813,North Hill,2/9/25,2/9/25
73332413,2/5/25,,56 Waverley Oaks Road,3,,Waltham High,715000,649900,649900,1563,,2/10/25,2/10/25
73332386,2/4/25,,153 Merrimack Meadows Lane U:153,2,,,485000,470000,470000,1446,,2/17/25,2/10/25
73332357,2/4/25,,5 Philip Road,4,,LHS,1650000,1350000,1350000,3199,Follen Hill,2/14/25,2/11/25
73332353,2/4/25,,120 Sewall Ave U:A,3,,Brookline,1540000,1475000,1475000,1857,,2/5/25,2/5/25
73332346,2/4/25,,79 Harvard Avenue U:3,2,,Brookline High,1250000,1100000,1100000,1620,,2/12/25,2/12/25
73332315,2/4/25,,131 Free Street,3,,Hingham High Sc,1002000,979900,979900,1470,,2/22/25,2/10/25
73332298,2/4/25,,17 Lindsey St,3,,MHD High School,650000,725000,725000,1542,,2/19/25,2/12/25
73332263,2/4/25,,20 Joyce Drive,3,,WHS,247000,199000,199000,1116,,2/21/25,2/7/25
73332245,2/4/25,,75 Turner Rd,3,,Holliston HS,605000,600000,600000,1232,,2/13/25,2/10/25
73332240,2/4/25,,289 Belgrade Avenue U:2,2,,,540000,525000,525000,1167,,2/20/25,2/9/25
73332221,2/4/25,,1186 Worcester U:230,1,,,283500,259000,259000,651,,3/5/25,3/5/25
73332215,2/4/25,,26 Foster St U:26,5,,,1360000,1399900,1399900,2127,,2/5/25,2/5/25
73332199,2/4/25,,159 Forest Hill Avenue,3,,LHS,961000,849900,849900,1708,,2/23/25,2/10/25
73332131,2/4/25,,4 Duck Pond Rd U:203,2,,Beverly High,430000,420000,420000,1071,,2/6/25,2/6/25
73332126,2/4/25,,3 BODIO CIRCLE,3,,,655000,619900,619900,1672,,2/18/25,2/10/25
73332083,2/4/25,2,318-320 Hope St,6,,,805000,769000,769000,2248,,2/10/25,2/10/25
73332051,2/4/25,,6-1/2 Whitehill Street,2,,,420000,424900,424900,1062,,2/21/25,2/7/25
73332037,2/4/25,,128 Rye St,4,,Seekonk HS,745000,729900,729900,2278,,2/12/25,2/12/25
73332036,2/4/25,,250 Whitwell St U:5,2,,Quincy,477500,450000,450000,946,,2/17/25,2/9/25
73332032,2/4/25,,66 Nolan Way,3,,,949900,949900,949900,2196,,2/4/25,2/4/25
73332031,2/4/25,,188 Haynes Road,4,,Lincoln Sudbury,1265000,1249000,1249000,2966,,2/22/25,2/8/25
73332007,2/4/25,3,8 Bynner St,7,,,1325000,1325000,1500000,3162,,2/10/25,2/10/25
73331996,1/27/25,,9 Winthrop Heights Dr U:B,3,,,420000,420000,420000,1610,,2/4/25,2/4/25
73331990,2/4/25,3,114 Davis St,8,,,637500,699000,699000,3276,,2/26/25,2/26/25
73331979,2/4/25,,6 Cedar,5,,Arlington High,1582000,1375000,1375000,2157,Arlington Heights,2/11/25,2/11/25
73331976,2/4/25,,3 Adams St,3,,Salem HS,661000,649900,649900,2078,,2/11/25,2/11/25
73331931,2/3/25,,130 Springhill Ave,1,,BRHS,370000,359900,359900,803,Bridgewater Center/BS University Area,2/12/25,2/4/25
73331898,2/3/25,,130 South Washington Street U:130,3,,Norton High,404500,389900,389900,1300,,2/7/25,2/7/25
73331896,2/3/25,3,32 Harvard St,7,,,491000,474999,474999,2322,,2/19/25,2/9/25
73331893,2/3/25,,429 Captain Eames Cir U:429,2,,,700000,650000,650000,2209,,2/6/25,2/6/25
73331842,2/3/25,,38 Sturbridge Rd,4,,,125000,125000,125000,1765,,3/6/25,3/6/25
73331821,2/3/25,,5 Lisa St,3,,BHS,725000,685000,685000,1596,,2/10/25,2/10/25
73331761,2/3/25,,30 Ames Ave U:30,3,,,715000,659000,659000,1586,,2/17/25,2/5/25
73331755,2/3/25,,6 Ardley Pl,5,,Winchester High,2200000,2300000,2300000,3676,,2/24/25,2/15/25
73331753,2/3/25,,35 County Rd,4,,Burlington High,1450000,1475000,1475000,3150,,2/9/25,2/9/25
73331738,2/3/25,,10 Lucy Way,3,,Haverhill High,912456,912456,912456,2901,Mohawk Trail,2/3/25,2/3/25
73331721,2/3/25,,453 Mountain Road,1,,,251000,232000,232000,784,,2/21/25,2/9/25
73331681,2/3/25,,174 Front Street,3,,Weymouth High,650000,575000,575000,2018,,2/21/25,2/7/25
73331595,2/3/25,,16 Bristol St,3,,,224400,205000,205000,1251,,2/4/25,2/4/25
73331575,2/2/25,,1818 Main St U:314,2,,Wachusett,366000,360000,360000,1294,,2/11/25,2/11/25
73331510,2/2/25,2,284 Hillside Ave,7,,,419000,415000,415000,3348,,2/18/25,2/5/25
73331471,2/2/25,2,117 Greenwood St,4,,Gardner High,460000,449900,449900,1688,,2/11/25,2/3/25
73331429,2/4/25,,100 Bartlett St U:1,3,,,1160000,1075000,1075000,1784,,2/14/25,2/10/25
73331418,2/1/25,,1658 Memorial Ave U:1B,2,,,128000,129000,129000,541,,2/14/25,2/1/25
73331375,2/1/25,,68 Scenic Dr,5,,LHS,725000,715000,715000,3384,,2/4/25,2/4/25
73331351,12/21/24,,170 Baird St,4,,,479500,479500,479500,3300,,12/22/24,12/22/24
73331333,2/1/25,,45 South St,5,,Needham HS,2400000,2375000,2375000,7545,,2/16/25,2/2/25
73331332,2/1/25,,77 Foster U:77,4,,,1450000,1450000,1450000,2043,,2/5/25,2/3/25
73331316,1/31/25,,481 Cold Spring Ave U:2A,2,,,147000,139900,139900,541,,2/20/25,2/6/25
73331306,1/31/25,,70 Phyllis Rd,2,,Taunton High,505000,489000,489000,1561,Quiet Side street,2/12/25,2/7/25
73331299,1/31/25,,65 Richardson Dr,4,,,360000,349900,349900,1176,,2/3/25,2/3/25
73331286,1/31/25,,11 Park Ln,3,,Walpole HS,473000,425000,425000,1552,,2/11/25,2/3/25
73331273,1/31/25,,6 Holbrook St U:2,2,,,800000,745000,745000,1166,,2/12/25,2/5/25
73331270,1/31/25,,393 North Falmouth Highwway U:1,2,,,618000,625000,625000,1170,,2/21/25,2/9/25
73331246,1/31/25,2,1-3 Munroe St,4,,Holyoke HS,182000,155000,155000,2382,,2/13/25,2/4/25
73331225,1/31/25,,38 Donald Ter,3,,,600000,579900,579900,1446,,2/11/25,2/5/25
73331168,1/31/25,,6 West St,3,,Sharon,720000,695000,695000,1521,,2/6/25,2/3/25
73331138,1/31/25,,14 Hickory Lane,4,,Framingham High,685000,685000,685000,1988,,2/19/25,2/5/25
73331125,1/31/25,,20 Huss Ct U:103,1,,,214900,214900,214900,470,,2/15/25,2/2/25
73331098,1/31/25,,48 Baker St,3,,,305000,295000,295000,1108,,2/6/25,2/6/25
73331078,1/31/25,3,29 Aetna St,6,,,600000,615000,615000,2823,,2/4/25,2/4/25
73331072,1/31/25,2,658 Walk Hill St,10,,,952527,789900,789900,2700,,2/17/25,2/4/25
73331060,1/31/25,,58 Stow Rd,2,,Marlboro High,462000,458000,458000,1000,,2/14/25,2/3/25
73331057,1/31/25,,48 Arlington Rd U:1,3,,,620000,620000,620000,1200,,2/18/25,2/5/25
73331050,1/31/25,,44 Howe St,3,,,834000,799000,799000,1242,,2/11/25,2/4/25
73331042,1/31/25,,560 Country Club Road,4,,Greenfield HS,420000,399000,399000,1477,,2/7/25,2/7/25
73331032,1/30/25,,26 Vista Dr,3,,SHS,720000,719900,719900,1767,,2/17/25,2/1/25
73331031,1/30/25,,73 Rosemary Rd,3,,NAHS,700000,675000,675000,1872,,2/18/25,2/4/25
73331030,1/30/25,,35 Columbia Ave,4,,,400000,374900,374900,1336,,2/20/25,2/3/25
73331026,1/29/25,,75-83 Cambridge Pkwy U:210,2,,,1720000,1750000,1750000,1210,,2/5/25,1/29/25
73331002,1/30/25,,30 Chatham Road,4,,Longmeadow,609000,574900,574900,2698,,2/9/25,2/3/25
73330994,1/30/25,,56 Loring Ave,3,,,505000,479000,479000,1216,,2/16/25,2/2/25
73330993,1/30/25,,12 Ravenna St,3,,,645000,599900,599900,2374,,2/15/25,2/3/25
73330979,1/29/25,,169 Shore Road,4,,,5000000,5300000,5300000,3248,,1/31/25,1/31/25
73330956,1/30/25,,90 Mountain Gate Road U:90,2,,Ashland High,510000,510000,510000,1326,,2/5/25,2/5/25
73330954,1/30/25,,116 Farrwood Drive U:116,2,,Haverhill High,400000,389700,389700,1605,,2/3/25,2/3/25
73330949,1/30/25,,14 Grove St U:7,2,,WHS,370000,339900,339900,996,,2/18/25,2/4/25
73330943,1/30/25,,26 Sutherland Road U:26,4,,Arlington,1250000,1195000,1195000,2216,,2/19/25,2/5/25
73330891,1/30/25,,33 Hastings Lane,2,,,733000,699900,699900,1440,,2/6/25,2/2/25
73330882,1/30/25,,524 Middlesex Tpke,3,,,402000,500000,500000,1004,,2/12/25,2/3/25
73330868,1/30/25,,89 Wheeler Dr U:89,2,,,1100000,995000,995000,2671,,2/8/25,2/8/25
73330856,1/30/25,,274 Park Avenue,5,,AHS,1707071,1395000,1395000,3316,,2/3/25,2/4/25
73330844,1/30/25,,75 G St U:1,4,,,1550000,1550000,1550000,1975,,1/31/25,1/31/25
73330824,1/30/25,,501 LEXINGTON STREET U:75,2,,,825000,799900,799900,2353,,2/7/25,2/3/25
73330823,1/30/25,,196 Dunstable Rd,4,,Chelmsford High,685000,725000,725000,2149,,2/14/25,2/4/25
73330819,1/30/25,,116 Estes Street,3,,,675000,599900,599900,1540,,2/5/25,2/5/25
73330818,1/30/25,,38 Sartell Rd,3,,,875000,789900,789900,1804,,2/5/25,2/5/25
73330806,1/30/25,,6 Spring street,3,,Douglas,630000,630000,630000,1896,Springmeadow estates,2/3/25,2/3/25
73330784,1/30/25,,37 Conservation Way,4,,,1105000,1050000,1050000,3006,Mansfield Estates,2/15/25,2/1/25
73330782,1/30/25,,78 Kendall Ave,3,,,520000,519900,519900,976,,2/5/25,2/5/25
73330777,1/30/25,,21 Leonard Rd,4,,,750000,749000,749000,1982,,2/18/25,2/5/25
73330774,1/1/25,3,117 Irving St,12,,,835000,835000,835000,5655,,1/30/25,1/30/25
73330769,1/30/25,,14 Stone Root Ln,4,,LSRHS,1430000,1350000,1350000,3306,,2/6/25,2/6/25
73330753,1/30/25,,159 Main St. U:56B,2,,Stoneham High,460000,400000,400000,1090,,2/6/25,2/3/25
73330750,1/30/25,,31 Yorkshire Drive Ext. U:83,3,,Memorial High,861000,799900,799900,2550,Bella Woods,2/15/25,2/2/25
73330748,1/30/25,,116 Cottonwood Lane,3,,,630000,629900,629900,1330,,2/3/25,2/3/25
73330743,1/30/25,,91 Chippy Ln,3,,MHS,617150,540000,540000,1632,,2/3/25,2/3/25
73330736,1/30/25,,1013 Main Street,3,,RMHS,725000,699000,699000,1428,,2/4/25,2/4/25
73330734,1/30/25,,21 Vesey St,3,,,440000,425000,425000,1218,,2/18/25,2/4/25
73330733,1/30/25,,29 Leonard Ave,3,,,585000,550000,550000,1450,,2/16/25,2/3/25
73330720,1/30/25,,73 Hadley Village Rd U:Unit D,1,,Per Board of Ed,141000,140000,140000,696,,2/3/25,2/3/25
73330712,1/30/25,,43-51 Albion St U:B9,1,,Melrose High,280000,295000,295000,533,,2/7/25,2/4/25
73330705,1/30/25,,36 Concord Sq U:A,2,,,2205000,2150000,2150000,1747,,2/17/25,2/4/25
73330699,1/30/25,,19 Neptune Ave U:2,3,,Winthrop,675000,649900,649900,1415,,2/1/25,2/1/25
73330673,1/30/25,,30 Seward Road,4,,SHS,1029000,1029000,1029000,2729,Bear Hill,2/4/25,2/4/25
73330672,1/30/25,,20 Green St,4,,,832000,729000,729000,1576,,2/4/25,2/4/25
73330669,1/30/25,,45 Fairfield St,5,,NHS,3000000,2995000,2995000,5351,,2/5/25,2/5/25
73330659,1/30/25,,65 Nutting Rd,3,,Westford Academ,695000,659000,659000,1659,Quiet country Rd between R40 and Depot St,2/18/25,2/4/25
73330658,1/30/25,,5 Brown Street,3,,BHS,866000,825000,825000,1927,,2/12/25,2/8/25
73330654,1/29/25,,7 Pinewood Ave,4,,Beverly High,822000,749900,749900,2080,,2/4/25,2/4/25
73330647,1/29/25,,35 Leonard Dr,4,,,680000,699900,699900,2224,,2/21/25,2/4/25
73330641,1/29/25,2,59-61 Montcalm Ave,6,,,1090000,1049000,1049000,2298,,2/12/25,2/4/25
73330638,1/29/25,,26 Sophia Dr,2,,,415000,399900,399900,1134,,2/13/25,2/4/25
73330625,1/29/25,,212 Arnold Rd,3,,,381000,369000,369000,1306,,2/4/25,2/4/25
73330607,1/29/25,,326 Ponakin Rd,4,,Nashoba,560500,575000,575000,1869,,2/16/25,2/2/25
73330606,1/29/25,,43 Pleasant St. U:3,2,,,1415000,1325000,1325000,1341,,2/4/25,2/4/25
73330603,1/29/25,,28 Robert St,3,,,380000,375000,375000,1487,,2/3/25,2/3/25
73330600,1/29/25,,149 Milk St U:17,2,,,330000,310000,310000,987,,2/17/25,2/3/25
73330594,1/29/25,,294 Nassau Dr U:294,1,,,199900,199900,199900,867,,2/21/25,2/8/25
73330588,1/29/25,,34 Oakland St,5,,Dedham High,886000,869900,869900,2945,,2/11/25,2/3/25
73330579,1/29/25,,18 Muriel Ave,4,,Wakefield High,640000,639000,639000,1122,,2/1/25,2/1/25
73330577,1/24/25,,63 Joel Harvey Way,3,,THS,775450,775450,775450,1962,Gracey Estates,1/24/25,1/24/25
73330570,1/29/25,,7 Annis St,3,,,290000,300000,300000,1050,,2/19/25,2/14/25
73330562,1/29/25,,612 Wheelwright Road,2,,,110000,100000,100000,1968,,2/12/25,2/3/25
73330557,1/29/25,,173 Winn St,3,,,825000,799000,799000,1522,,2/7/25,2/2/25
73330555,1/29/25,,12 Brookside Lane,4,,King Philip HS,756000,695000,695000,2536,,2/4/25,2/4/25
73330547,1/29/25,,63 Lynch Dr,3,,,350000,324900,324900,1700,,2/17/25,2/4/25
73330546,1/29/25,,86 Alvin Ave,3,,,875000,869000,869000,1700,,2/18/25,2/5/25
73330543,1/29/25,,53 Park Ave,3,,Natick High,950000,889000,889000,1547,Walnut Hill,2/7/25,2/3/25
73330539,1/30/25,,236 Captain Eames Circle U:236,2,,,615000,569900,569900,1759,,2/16/25,2/2/25
73330538,1/28/25,,45 Beverly Rd,4,,Brookline HS,1858000,1899000,1899000,3178,,2/1/25,2/1/25
73330536,1/29/25,,9 Christina Drive,4,,King Phillip HS,1035000,999999,999999,3345,Ridge Estates,2/16/25,2/2/25
73330529,1/29/25,,89 Third Street,4,,,2790000,2975000,2975000,3117,,2/12/25,2/12/25
73330510,1/29/25,,43 W Street Ter,3,,,480000,450000,450000,2547,,2/3/25,2/3/25
73330504,1/29/25,,24 Oak Hill Rd,3,,,675000,599900,599900,1467,,2/6/25,2/6/25
73330500,1/29/25,,137 Jackson St,2,,,300000,299999,299999,864,,2/4/25,2/4/25
73330495,1/29/25,,9 Starr Lane,4,,DR Regional,1495000,1495000,1495000,4200,Rocky Run Estates II,2/15/25,2/2/25
73330486,1/30/25,,117 Plain St,4,,,510000,510000,510000,2456,,2/18/25,2/5/25
73330470,1/29/25,,816 Lynnfield St,3,,Lynnfield,650000,599999,599999,1500,,2/4/25,2/4/25
73330468,1/29/25,,12 James Rd,3,,,642000,619900,619900,2516,,2/4/25,2/4/25
73330463,1/29/25,2,9-11 Knollin St,4,,,815000,799000,799000,2593,,2/6/25,1/30/25
73330461,1/29/25,,2001 Pleasant St,5,,,340000,329900,329900,1800,,2/20/25,2/7/25
73330452,1/29/25,,36 Sherman Avenue,3,,,425000,399900,399900,925,,2/18/25,2/5/25
73330441,1/29/25,,35 PARKER ROAD,4,,,1103000,999900,999900,2582,,2/7/25,2/3/25
73330433,1/29/25,,188 Geralynn Dr,4,,,610000,599900,599900,2208,,2/3/25,2/3/25
73330420,1/29/25,,42 Whittemore St,4,,CCHS,1900000,1750000,1750000,3405,,2/18/25,2/3/25
73330412,1/29/25,,15 Hillview Dr,4,,Pentucket,825000,799900,799900,2388,Hillview Estates,2/20/25,2/6/25
73330407,1/29/25,,180 Chickering Rd U:211C,2,,,419100,419000,419000,1026,,2/19/25,2/5/25
